Country,Alpha-2,Alpha-3,Continent,Etymologi
Croatia,HR,HRV,Europe,"Etymology uncertain. From Medieval Latin Cro?tia, from Cruati (""Croatians"") attested in the Šopot Inscription, from North-West Slavic Xrovat-, by liquid metathesis from proposed Common Slavic *Xorvat-, from proposed Proto-Slavic *Xarw?t- (*X?rvat?)[188] or *X?rvat? (*x?rvat?). The most common theory[188] derives it from Harahvat-, the Old Persian name for the Arachosia or Helmand River, or from Harahuvatiš, the land surrounding it. This is cognate with the Vedic Sarasvat? and Avestan Haraxvait?.[189] This derivation seems to be supported by a 3rd-century Scythian form Xoroathos (????????) appearing in the Tanais Tablets.[citation needed] Alternate theories include Zbigniew Go??b's proposal that it is a borrowing from Proto-Germanic *C(h)rovati, presumed to mean ""warriors clad with horn-armor""[190] or chrawat, ""mountaineers""."
Cuba,CU,CUB,North_America,"Etymology unknown. First bestowed by Christopher Columbus as Cabo de Cuba (the modern Punta de Mulas) after a supposed local settlement named ""Cuba"",[54] probably from the Taíno cubao (""abundant fertile land"")[191][unreliable source?] or coabana (""great place"")."
Cyprus,CY,CYP,Europe,"Etymology unknown. Latinized from the Greek Kúpros (??????), first attested as Mycenaean Greek Linear B Syllable B081 KU.svg Linear B Syllable B039 PI.svg Linear B Syllable B053 RI.svg Linear B Syllable B036 JO.svg (Kupirijo, ""Cypriot""). Possible etymologies include the Greek kypárissos (??????????, ""cypress"")[195] or kýpros (??????, ""henna"").[citation needed] The most common folk etymology derives its name from ""copper"", since the island's extensive supply gave Greek and Latin words for the metal.[196] Although these words derived from Cyprus rather than the other way around, the name has more recently been derived from an Eteocypriot word for ""copper"" and even from the Sumerian zubar (""copper"") or kubar (""bronze"")."
Czechia,CZ,CZE,Europe,"""Land of the Czechs and Slovaks"". For further etymology of ""Czech"", see Czech Republic below; for further etymology of ""Slovak"", see Slovakia below."
Democratic Republic of Congo,CD,COD,Africa,"Congo Free State, a former name: As above, a translation of the French État indépendant du Congo (""Free State of the Congo""), formed by Leopold II of Belgium in 1885 to administer the holdings of the International Congo Society acknowledged as separate from the country of Belgium at the 1884 Berlin Conference. Belgian Congo, a former name: As above, following the Free State's union with Belgium in 1908, whose name was often included to distinguish the colony from the French-controlled Congo to its north. For further etymology of ""Belgium"", see above. Congo (Léopoldville) and Congo-Léopoldville, former names: As above, with the inclusion of the country's capital to distinguish it from Congo (Brazzaville) to its north. This usage was especially common when both countries shared identical official names prior to Congo-Léopoldville's adoption of the name ""Democratic Republic of the Congo"" (République démocratique du Congo) in 1964.[184] Léopoldville itself was named for Leopold II of Belgium upon its founding in 1881. Leopold's own name derives from Latin leo (""lion"") or Old High German liut (""people"") and OHG bald (""brave""). Congo (Kinshasa) and Congo-Kinshasa, alternate names: As above, following the renaming of Léopoldville after the nearby native settlement of Kinshasa or Kinchassa[185] to its east[186] as part of the Mobutist Authenticity movement. Zaire or Zaïre, a former name: ""[Land beside] the Congo River"", a French form of a Portuguese corruption of the Kongo Nzere (""river""), a truncation of Nzadi o Nzere (""river swallowing rivers""),[187] adopted for the river and the country between 1971 and 1997 as part of the Authenticity movement."
Denmark,DK,DNK,Europe,"Etymology uncertain, but probably ""The Danish forest"" or ""march"" in reference to the forests of southern Schleswig.[201] First attested in Old English as Denamearc in Alfred's translation of Paulus Orosius's Seven Books of History against the Pagans.[202] The etymology of ""Danes"" is uncertain, but has been derived from the proposed Proto-Indo-European root *dhen (""low, flat""); -mark from the proposed Proto-Indo-European root *mereg- (""edge, boundary"") via Old Norse merki (""boundary"") or more probably m?rk (""borderland, forest""). The former folk etymology derived the name from an eponymous king Dan of the region."
Djibouti,DJ,DJI,Africa,"Etymology unknown, named for its eponymous capital Djibouti, founded in 1888 by the Catalan Eloi Pino and the capital of the previous French colonies French Somaliland and Afars & Issas. ""Land of Tehuti"", after the ancient Egyptian moon god."
Dominica,DM,DMA,North_America,"""Sunday Island"" in Latin, feminized from di?s Dominicus (""Sunday"", lit. ""Lordly Day""), possibly via Spanish Domingo, for the day of the island's sighting by Christopher Columbus on 3 November 1493. At the time of Dominica's discovery, there was no special saint's day on that date and Columbus's own father had been named Domenego."
Dominican Republic,DO,DOM,North_America,"""Republic of Santo Domingo"", the capital city of the Spanish-held region of Hispaniola since its incorporation by Bartholomew Columbus on 5 August 1498 as La Nueva Isabela, Santo Domingo del Puerto de la Isla de la Española (""New Isabela, Saint Dominic of the Port of Hispaniola"") either in honor of Sunday (see Dominica above),[54] his father Domenego, or Saint Dominic's feast day[204] on 4 August.[205] Nicolás de Ovando shortened the name to Santo Domingo de Guzmán upon the city's refounding at a new site after a major hurricane in 1502.[206] Dominic himself was named for Saint Dominic of Silos, the monk at whose shrine his mother was said to have prayed.[citation needed] Dominic (from the Latin Dominicus, ""lordly"" or ""belonging to the Lord"") was a common name for children born on Sunday (see ""Dominica"" above) and for religious names."
East Timor,TL,TLS,Asia,"""Eastern East [Island]"", from the Portuguese Timor-Leste (""East Timor""), in reference to the state's position on the eastern half of the island of Timor, whose name derives from the Malay timur (""east""), from its position in the Lesser Sundas."
Ecuador,EC,ECU,South_America,"""Equator"" in Spanish, truncated from the Spanish República del Ecuador (lit. ""Republic of the Equator""), from the former Ecuador Department of Gran Colombia established in 1824 as a division of the former territory of the Royal Audience of Quito. Quito, which remained the capital of the department and republic, is located only about 40 kilometres (25 mi), ¼ of a degree, south of the equator."
Egypt,EG,EGY,Africa,"""Home of the ka of Ptah"", from Latin [text?], from Greek Aígyptos (????????), related to Mycenean *Aiguptiyós (Linear B Syllable B008 A.svg Linear B Syllable B081 KU.svg Linear B Syllable B039 PI.svg Linear B Syllable B037 TI.svg Linear B Syllable B036 JO.svg), derived from Egyptian ?wt k3 pt? (Hwt k3 Pth.jpg, *?ei ko p'ta?), an alternate name for Memphis, the capital of the Egyptian empire, by metonymy from the cult and temple of Ptah there. Ptah's name itself meant ""opener"", both in relation to his creation of the world and his role in the opening of the mouth ceremony.["
El Salvador,SV,SLV,North_America,"""The Savior"" in Spanish, a truncation of the original Provincia de Nuestro Señor Jesus Cristo, el Salvador del Mundo (""Province of our Lord Jesus Christ, the Savior of the World""), a territory within the Spanish Kingdom of Guatemala named for its capital La Ciudad de Gran San Salvador (""City of the Great Holy Savior""), founded around 1 April 1525, by Gonzalo de Alvarado, whose brother Pedro had previously instructed him to name a settlement in the territory of Cuzcatlan after the Feast of the Holy Savior."
Equatorial Guinea,GQ,GNQ,Africa,"Self-descriptive. Although the country's territory does not touch the equator, it straddles the line: the island Annobón lies to the south while the mainland is to the north. For further etymology of ""Guinea"""
Eritrea,ER,ERI,Africa,"""Land of the Red Sea"", adopted in 1993 upon independence from Ethiopia, from the Italian colony established in 1890, named by Francesco Crispi on the suggestion of Carlo Dossi, Italicized from the Latin transcription Mare Erythræum of the Greek Erythrá Thálassa (?????? ???????, ""Red Sea"")."
Estonia,EE,EST,Europe,"""Land of the Aesti"", a correction of earlier Esthonia, a re-Latinization of the Old English Estland, a development of the Old High German Aestland, a combination of the Latin Aestia and the German -land (""-land""). The name Aestia was a combination of the Latin Aesti and the locative suffix -ia, meaning ""Land of the Aesti"" (a people first mentioned by Ancient Roman historian Tacitus around 98 AD). Some historians have hypothesized that he was referring to speakers of Baltic languages and, not their then Finnic-speaking neighbours to the north, while others have suggested that the name Aesti may have been at earlier times applied to the entire Eastern Baltic region.[212] The Scandinavian sagas' references to Eistland are the earliest known sources using the toponym indisputably for a geographic area overlapping with modern Estonia.[213] The word Estland/Eistland has been linked to Old Norse eist, austr meaning ""the east"".[214] The Estonian endonym Eesti was first attested in writing as Estimah in 1638, as a combination of the name Est- and the word -mah (""land""), which is still used as an alternative name Eestimaa in modern Standard Estonian. The Finnish name Viro is derived from the northeast Estonian Viru County, which was closest to Finns along the shore. Similar names can be found in other Northern Finnic languages."
Ethiopia,ET,ETH,Africa,"""Land of the Blacks"", from Latin Æthiopia, from the Ancient Greek ???????? (Aithiopía), ""land of the Burnt-Faced"" (from ??????, Aithíops), originally in reference to all Sub-Saharan Africa."
Federated States of Micronesia,FM,FSM,Oceania,"Coined from the Greek words mikros (?????? ""small"") and nesos (????? ""island"") – ""small islands""."
Fiji,FJ,FJI,Oceania,"Possibly ""look-out"".[217] Adapted from Fisi, the Tongan form of Viti, referring to the island of Viti Levu (Fijian for ""Great Viti""). Popularized by British explorer James Cook.["
Finland,FI,FIN,Europe,"""Land of the Finns"", from the Swedish spelling,[54] first attested in runestones in Old Norse in present-day Sweden. Early mentions of the Fenni in Tacitus's first-century Germania and the Phinnoi (Ancient Greek: ??????) in Ptolemy's second-century Geography are today thought to refer to the modern Sami people. The etymology of ""Finn"" is uncertain: it may derive from Germanic translations of the Finnish suo (""fen"")[54] or from the proposed Proto-Germanic *finne ""wanderers"", ""hunting-folk""."
France,FR,FRA,Europe,"""Land of the Franks"", Anglicized from Late Latin Francia, from Old Frankish Franko. The name ""Frank"" itself has been derived from the historic framea (""javelin""),[54] proposed Proto-Germanic *frankon (""spear"", ""javelin""), – although the characteristic weapons of the Franks were the sword and the Frankish axe – and from the Proto-Germanic *frankisc (""free"") from *frank (""free"")[54] – although they were not masters until after their conquest of Gaul."
Gabon,GA,GAB,Africa,"""Cloak"", Anglicized from the Portuguese Gabão, bestowed on the Komo River estuary for its supposed resemblance to a gabão, a kind of pointy-hooded overcoat whose name derives from the Arabic qab?' "
Gambia,GM,GMB,Africa,"""Kaabu"", selected upon independence in 1965 from the name of the former British colony, named for the Gambia River, from a corruption of the Portuguese Gambra and Cambra first recorded in 1455 by Alvise Cadamosto,[221] a corruption of a local name Kambra or Kambaa (Mandinkan: ""Kaabu river"") or Gambura, an amalgam of Mandinkan Kaabu and Wolof bur (""king"")."
Georgia,GE,GEO,Europe,"Etymology uncertain. The terms ""Georgia"" and ""Georgian"" appeared in Western Europe in numerous early medieval annals. At the time, the name was folk etymologized – for instance, by the French chronicler Jacques de Vitry and the ""English"" fraudster John Mandeville – from a supposed especial reverence of the Saint George. According to several modern scholars, ""Georgia"" seems to have been borrowed in the 11th or 12th century from the Syriac Gurz-?n or -iy?n and Arabic ?ur?an or ?urzan, derived from the New Persian Gur? or Gur??n, itself stemming from the Ancient Iranian and Middle Persian Vrk?n or Waru??n of uncertain origin, but resembling the eastern trans-Caspian toponym Gorgan, from the Middle Persian Varkâna (""land of the wolves""). This might have been of the same etymology as the Armenian Virk' (????) and a source of the classical Iberi (Ancient Greek: ??????, Ib?res).[223][224] Another theory semantically links ""Georgia"" to Greek ge?rgós (???????, ""tiller of the land"") and Latin georgicus (""agricultural""). The Georgi mentioned by Pliny the Elder[225] and Pomponius Mela.[226] were agricultural tribes distinguished as such from their pastoral neighbors across the Panticapaeum in Taurica."
Germany,DE,DEU,Europe,"Meaning uncertain. German attested 1520, Anglicized from Latin Germania, attested in the 3rd century BC,[citation needed] popularized by Julius Caesar as a reference to all tribes east of the Rhine,[229] and repopularized in Europe following the rediscovery and publication of Tacitus's Germania in 1455.[229] Proposed derivations include the Celtic gair- (""neighbor""),[230] gairm (""battle-cry"")[230] or *gar (""to shout""),[citation needed] and gar (""spear""). Deutschland, the local endonym: ""The People's Land"", from Old High German diutisciu land, from the Germanic *þiudiskaz (sometimes translated as ""vernacular"",[229] as opposed to Latin and Romance languages like Old French), a form of *þeud?, from the proposed Proto-Indo-European *tewtéh? (""people"")."
Ghana,GH,GHA,Africa,"""Warrior King"",[232] adopted at J. B. Danquah's suggestion upon the union of Gold Coast with British Togoland in 1956 or upon independence on 6 March 1957, in homage to the earlier Malian Ghana Empire, named for the title of its ruler.[citation needed] Despite the empire never holding territory near the current nation, traditional stories connect the northern Mande of Ghana – the Soninke, Dyula, Ligby, and Bissa – to peoples displaced following the collapse of the old Ghana."
Greece,GR,GRC,Europe,"Etymology uncertain. From Old English Grecas and Crecas, from Latin Græcus, presumably from Greek Graikoí (???????). The Romans were said to have called all the Greeks after the name of the first group they met,[citation needed] although the location of that tribe varies between Epirus – Aristotle recorded that the Illyrians used the name for Dorian Epiriots from their native name Graii[233][234] – and Cumae – Eusebius of Caesarea dated its settlement by Boeotians from Pithecusae[235] led by Megasthenes and Hippocles to 1050 BC.[236] The town of Graea (????? Graîa) in or near Oropos, Boeotia,[236] appeared in Homer's Catalogue of Ships and was said to be the oldest in Greece,[citation needed] and the Parian Chronicle lists Graikoí as the original name of the Greeks.[237] The town and its region (??????, Graïk?) have been derived from the word ????? graia ""old woman"" which in its turn comes from the Proto-Indo-European language root *?erh2-/*?reh2-, ""to grow old"" via Proto-Greek *gera-/grau-iu;[238] the same root later gave ????? geras (/keras/), ""gift of honour"" in Mycenean Greek.[239] Folk etymology linked the name with an eponymous patriarch Graecus, related to Hellen below."
Grenada,GD,GRD,North_America,"""Granada"", from its French name La Grenade, from earlier Spanish Granada, whose own name derived from the Emirate and Taifa of Granada, named for their capital Gharn??ah (Arabic: ??????????), originally a Jewish suburb (Garnata al-Yahud) of Elvira which became the principal settlement after the latter was destroyed in 1010."
Guatemala,GT,GTM,North_America,"""Forest"", from the Nahuatl Cuauht?mall?n (lit. ""Place of Many Trees""), a translation of the K'iche' K'ii'chee' (lit. ""Many Trees"")."
Guinea,GN,GIN,Africa,"Etymology uncertain. Anglicized from Portuguese Guiné, traditionally derived from a corruption of Ghana above, originally in reference to the interior and applied to the coast only after 1481.[242] Alternate theories include a corruption of Djenné[243] and the Berber ghinawen, aginaw, or aguinaou (""burnt one"", i.e. ""black"")."
Guinea-Bissau,GW,GNB,Africa,Etymology of Guinea uncertain. The Portuguese name of República da Guiné-Bissau was adopted officially upon independence in 1973.
Guyana,GY,GUY,South_America,"""Land of Many Waters"" in an indigenous language."
Haiti,HT,HTI,North_America,"From Taíno/Arawak, Hayiti or Hayti, meaning ""mountainous land"", originally Hayiti. The name derives from the mountainous and hilly landscape of the western half of the island of Hispaniola."
Honduras,HN,HND,North_America,"Christopher Columbus named the country ""Honduras"", Spanish for ""depths"", referring to the deep waters off the northern coast."
Hungary,HU,HUN,Europe,"Turkic: on-ogur, ""(people of the) ten arrows"" – in other words, ""alliance of the ten tribes"". Byzantine chronicles gave this name to the Hungarians; the chroniclers mistakenly assumed that the Hungarians had Turkic origins, based on their Turkic-nomadic customs and appearance, despite the Uralic language of the people. The Hungarian tribes later actually formed an alliance of the seven Hungarian and three Khazarian tribes, but the name is from before then, and first applied to the original seven Hungarian tribes. The ethnonym Hunni (referring to the Huns) has influenced the Latin (and English) spelling."
Iceland,IS,ISL,Europe,"""Land of Ice"", from Old Norse Ísland, from íss (""ice""). Owing to the reports on the origin of the name Greenland, Iceland has been folk etymologized to have arisen as an attempt to dissuade outsiders from attempting to settle the land. However, according to the Landnámabók, the early explorer and settler Flóki Vilgerðarson gave the island the name after spotting ""a firth [or fjord] full of drift ice"" to the north.[249] According to various alternative but not widely accepted theories, such as those advanced by pyramidologist Adam Rutherford or writer Einar Pálsson (in his book The Celtic Heritage,[250]) the origin of the name Ís-land lies either with the ancient Egyptian goddess Isis or with Jesus."
India,IN,IND,Asia,"""Land of the Indus River"" in Latin, from Greek ?????, from Old Persian Hindu (??????????), the Old Persian name of the Sind Province, ultimately derived from Sanskrit Sindhu (??????), the original name of the Indus River"
Indonesia,ID,IDN,Asia,"""Indian Islands"" in Greek (?????????), apparently invented in the mid-19th century to mean ""Indies Islands"", from the islands' previous name ""East Indies""."
Iran,IR,IRN,Asia,"""Land of the Aryans"" or ""land of the free"". The term ""Arya"" is from a Proto Indo-iranian root, generally meaning ""noble"" or ""free"", cognate with the Greek-derived word ""aristocrat""."
Iraq,IQ,IRQ,Asia,"The prevailing theory is that it is derived from the city of Erech/Uruk (also known as ""Warka"") near the river Euphrates. Some archaeologists regard Uruk as the first major Sumerian city. However, it is more plausible that name is derived from the Middle Persian word Erak, meaning ""lowlands"". The natives of the southwestern part of today's Iran called their land ""the Persian Iraq"" for many centuries (for Arabs: Iraq ajemi: non-Arabic-speaking Iraq). Before the constitution of the state of Iraq, the term ""Iraq arabi"" referred to the region around Baghdad and Basra."
Ireland,IE,IRL,Europe,"After ""Éire"" from Proto-Celtic *?werj?, ""the fertile place"" or ""Place of Éire (Eriu)"", a Celtic fertility goddess. Often mistakenly derived as ""Land of Iron""; may come from a reflex of Proto-Indo-European *arya, or from variations of the Irish word for ""west"" (modern Irish iar, iarthar)."
Israel,IL,ISR,Asia,"""Israel"" and related terms ""the people of Israel"" ('Am Isra'el ?? ??????????) and ""the Children of Israel"" (Benei Isra'el ??? ??????????) have referred to the Jewish People in its literature from antiquity. The name Isra'el (?????????? – literally: ""will Struggle with God""), originates from the Hebrew Bible as an appellation given to the biblical patriarch Jacob. According to the account in the Book of Genesis, Jacob wrestled with an angel at a river ford and won – through perseverance. God then changed his name to Israel, signifying that he had deliberated with God and won, as he had wrestled and won with men."
Italy,IT,ITA,Europe,"From Latin ?talia, itself from Greek ??????, from the ethnic name ??????, plural ??????, originally referring to an early population in the southern part of Calabria. That ethnic name probably directly relates to a word ?????? (italós, ""bull""), quoted in an ancient Greek gloss by Hesychius (from his collection of 51,000 unusual, obscure and foreign words). This ""Greek"" word is assumed to be a cognate of Latin vitulus (""calf""), although the different length of the i is a problem. The Latin vitulus is presumably derived from the Proto-Indo-European root *wet- meaning ""year"" (hence, a ""yearling"": a ""one-year-old calf""), although the change of e to i is unexplained. The ""Greek"" word, however, is glossed as ""bull"", not ""calf"". Speakers of ancient Oscan called Italy Víteliú, a cognate of Greek ?????? and Latin ?talia. Varro wrote that the region got its name from the excellence and abundance of its cattle. Some disagree with that etymology. Compare Italus."
Ivory Coast,CI,CIV,Africa,"""Ivory Coast"" in French, from its previous involvement in the ivory trade. Similar names for Côte d'Ivoire and other nearby countries include the ""Grain Coast"", the ""Gold Coast"", and the ""Slave Coast""."
Jamaica,JM,JAM,North_America,"Taíno/Arawak Xaymaca or Hamaica, ""Land of wood and water"" or perhaps ""Land of springs""."
Japan,JP,JPN,Asia,"From Geppun, Marco Polo's Italian rendition of the islands' Shanghainese name ?? (Mandarin pinyin: rìb?n, Shanghainese pronunciation: Nyih4 Pen2, at the time approximately jitpun), or ""sun-origin"", i.e. ""Land of the Rising Sun"", indicating Japan as lying to the east of China (where the sun rises). Also formerly known as the ""Empire of the Sun""."
Jordan,JO,JOR,Asia,"After the river Jordan, the name of which possibly derives from the Hebrew and Canaanite root ??? yrd – ""descend"" (into the Dead Sea). The river Jordan forms part of the border between Jordan and Israel/West Bank."
Kazakhstan,KZ,KAZ,Asia,"""Land of the Kazakhs"", an amalgam of Kazakh qazaq (?????, 'nomad', 'free') and Persian -stan ([text?] 'land')."
Kenya,KE,KEN,Africa,"From the Kikuyu word Kirinyaga a contraction of Kirima nyaga ""Ostrich mountain"", so called because the dark shadows and snow-capped peak resemble the plumage of a male Ostrich. The neighbouring Kamba tribe do not have the ""R"" and ""G"" sound in their language and called it ""Keinya"" when acting as guides to a German explorer. It is often erroneously believed it comes from Kirima Ngai ""Mountain of God"""
Kiribati,KI,KIR,Oceania,"An adaptation of ""Gilbert"", from the former European name the ""Gilbert Islands"". Pronounced [?ki?ibas]. Gilbert Islands (former name): named after the British Captain Thomas Gilbert, who sighted the islands in 1788."
Kuwait,KW,KWT,Asia,"From the Arabic diminutive form of ??? (Kut or Kout), meaning ""fortress built near water""."
Kyrgyzstan,KG,KGZ,Asia,"""Land of the forty tribes"", from three words: kyrg (k?rk) meaning ""forty"", yz (uz) meaning ""tribes"" in East-Turkic, and -stan meaning ""land"" in Persian."
Laos,LA,LAO,Asia,"Coined under French rule, derived from Lao lao (???), meaning ""a Laotian"" or ""Laotian"", possibly originally from an ancient Indian word lava (??). (Lava is the name of one of the twin sons of the god Rama; see History of Lahore.) The name might also be from Ai-Lao (Lao: ???????, Isan: ???????, Chinese: ??; pinyin: ?iláo, Vietnamese: ai lao), the old Chinese name for the Tai ethnic groups to which the Lao people belong.[255] Formerly known as Lan Xang (????????) or ""land of a million elephants""."
Latvia,LV,LVA,Europe,"Emerged in the 19th century by combining ethnonym with finale -ija. The meaning and origin of name of Latvian people is unclear, however the root lat-/let- is associated with several Baltic hydronyms and might share common origin with the Liet- part of neighbouring Lithuania (Lietuva, see below) and name of Latgalians – one of the Baltic tribes that are considered ancestors of modern Latvian people."
Lebanon,LB,LBN,Asia,"The name Lebanon (???????? Lubn?n in standard Arabic; Lebnan or Lebnèn in local dialect) is derived from the Semitic root ""LBN"", which is linked to several closely related meanings in various languages, such as ""white"" and ""milk"". This is regarded as a reference to the snow-capped Mount Lebanon, which is actually what the country was named after as it had previously been called Phoenicia, a prosperous ancient semitic civilization that hailed from the land in Modern day Lebanon. Occurrences of the name have been found in three of the twelve tablets of the Epic of Gilgamesh (2900 BC), the texts of the library of Ebla (2400 BC), and the Bible (71 times in the Bible's Old Testament)."
Lesotho,LS,LSO,Africa,"""Land of the Basotho"" or ""of the Sesotho-speakers"".[256] Basotho itself is formed from the plural prefix ba- and Sotho of uncertain etymology, although possibly related to the word motho (""human being"")."
Liberia,LR,LBR,Africa,"From the Latin liber ""free"", so named because the country was established as a homeland for freed (liberated) African-American slaves."
Libya,LY,LBY,Africa,"After an ancient Berber tribe called Libyans by the Greeks and Rbw by the Egyptians. Until the country's independence, the term ""Libya"" generally applied only to the vast desert between the Tripolitanian Lowland and the Fazzan plateau (to the west) and Egypt's Nile river valley (to the east). With ""Tripoli"" the name of new country's capital, and the old northeastern regional name ""Cyrenaica"" having passed into obsolescence, ""Libya"" became a convenient name for the country."
Liechtenstein,LI,LIE,Europe,"From the German ""light stone"" (""light"" as in ""bright""). The country took its name from the Liechtenstein dynasty, which purchased and united the counties of Schellenberg and Vaduz. The Holy Roman Emperor allowed the dynasty to rename the new property after itself."
Lithuania,LT,LTU,Europe,"Multiple theories: Some link it to the word lieti (""to consolidate"" or ""to unite""), referring to the first union of tribes in ethnic Lithuanian lands (not lands of Balts, but lands of ancient tribes of Lithuanians including Prussians, nowadays Latvians and Belarusians).
Alternatively, could be a hydronym, possibly from a small river Lietava in central Lithuania. That hydronym has been associated with Lithuanian lieti (root lie- ""pour"" or ""spill""). Compare to Old Slavic liyati (?????? ""pour""), Greek a-lei-son (?-???-??? ""cup""), Latin litus (""seashore""), Tocharian A lyjäm (""lake"")."
Luxembourg,LU,LUX,Europe,"The country which was initially called (County of the) Ardennes named itself after its homonym capital city founded in 963.
From Celtic Lucilem ""small"", German lützel, OHG luc(c)il, luz(z)il (cognate to English ""little"") and Germanic Burg: ""castle"" or ""fortress"", thus Lucilemburg: ""little castle"" or ""little fortress""."
Madagascar,MG,MDG,Africa,"From Madageiscar, a corruption of Mogadishu popularized by Marco Polo."
Malawi,MW,MWI,Africa,"Possibly based on a native word meaning ""flaming water"" or ""tongues of fire"", believed to have derived from the sun's dazzling reflections on Lake Malawi. But President Hastings Banda, the founding President of Malawi, reported in interviews that in the 1940s he saw a ""Lac Maravi"" shown in ""Bororo"" country on an antique French map titled ""La Basse Guinee Con[t]enant Les Royaumes de Loango, de Congo, d'Angola et de Benguela"" and he liked the name ""Malawi"" better than ""Nyasa"" (or ""Maravi""). ""Lac Marawi"" does not necessarily correspond to today's Lake Malawi. Banda had such influence at the time of independence in 1964 that he named the former Nyasaland ""Malawi"", and the name stuck."
Malaysia,MY,MYS,Asia,"""Land of the Malays"": a combination of Malay and the Latin/Greek suffix -sia/-???.[258] malayadv?pa (Sanskrit: ????????) was the word used by ancient Indian traders when referring to the Malay Peninsula. In modern terminology, ""Malay"" is the name of an ethnoreligious group of Austronesian people predominantly inhabiting the Malay Peninsula and portions of adjacent islands of Southeast Asia, including the east coast of Sumatra, the coast of Borneo, and smaller islands that lie between these areas.[259] A theory suggests that the word Melayu ('Malay') is derived from the Malay/Javanese terms melayu or mlayu (to steadily accelerate or to run), to describe the strong current of a river in Sumatra that today bore the name Sungai Melayu.[260] The name was later possibly adopted by the Melayu Kingdom that existed in the 7th century on Sumatra.[261] The continental part of the country bore the name Tanah Melayu (literally 'Malay Land') or Malaya until 1963, when Federation of Malaysia was formed together with the territories of Sabah, Sarawak and Singapore (the latter withdrew in 1965). The name change indicated the change of the country's boundaries beyond Malay Peninsula. Malaysian refers to its citizens of all races includes the native aboriginal people, while Malay refers to the Malay people, which makes up about half of the population."
Maldives,MV,MDV,Asia,"Scholars believe that the name ""Maldives"" derives from the Sanskrit maladvipa (????????), meaning ""garland of islands"". Some sources say that the Tamil maalai (????) or Malayalam mala (???): ""Tamil theevu (????)"" ""mountain(s)"", and Sanskrit dv?p (?????): ""island"", thus, ""Mountain Islands""."
Mali,ML,MLI,Africa,"After the ancient West African kingdom of the same name, where a large part of the modern country is. The word mali means ""hippopotamus"" in Malinké and Bamana."
Malta,MT,MLT,Europe,"From either Greek or Phoenician. Of the two cultures, available evidence suggests that the Greeks had an earlier presence on the island, from as far back as 700 BC.[262] The Greeks are known to have called the island Melita (??????) meaning ""honey"", as did the Romans; solid evidence for this is Malta's domination by the Byzantine Empire from 395 through to 870. It is still nicknamed the ""land of honey"".[262][263] The theory for a Phoenician origin of the word is via ?????????? Maleth meaning ""a haven"".[264] The modern-day name comes from the Maltese language, through an evolution of one of the earlier names."
Mauritania,MR,MRT,Africa,"Named after British captain John Marshall, who first documented the existence of the islands in 1788. The family name is rendered Maje? in Marshallese."
Mauritius,MU,MUS,Africa,"Latin for ""land of the Moors"" (from Greek máuros, ?????? (black). Not to be confused with the classical Mauretania in northern Morocco, itself named after the Berber Mauri or Moor tribe."
Mexico,MX,MEX,North_America,After the Mexica. The meaning of the name is uncertain. Some take it as the old Nahuatl word for the sun.[265] See also Mexican state name etymologies.
Moldova (the Republic of),MD,MDA,Europe,"From the Moldova River in Romania, possibly from Gothic Mulda (???????): ""dust"", ""mud"", via the Principality of Moldavia (Moldova in Romanian)."
Monaco,MC,MCO,Europe,"From the ancient Greek monoikos (????????) 'single-dwelling', through Latin Monoecus. Originally the name of an ancient colony founded in the 6th century B.C. by Phocian Greeks, and a by-name of the demigod Hercules worshiped there. (The association of Monaco with monks (Italian monaci) dates from the Grimaldi conquest of 1297: see coat of arms of Monaco.)"
Mongolia,MN,MNG,Asia,"""Land of the Mongols"" in Latin. ""Mongol"" ultimately from Mongolian Mongol (??????) of uncertain etymology, given variously as the name of a mountain or river; a corruption of the Mongolian Mongkhe-tengri-gal (""Eternal Sky Fire"");[266] or a derivation from Mugulu, the 4th-century founder of the Rouran Khaganate.[267] First attested as the Mungu[268] (Chinese: ??, Modern Chinese M?ngwù, Middle Chinese Muwngu[269]) branch of the Shiwei in an 8th-century Tang dynasty list of northern tribes, presumably related to the Liao-era Mungku[268] (Chinese: ??, Modern Chinese M?ngg?, Middle Chinese MuwngkuX[270]) tribe now known as the Khamag Mongol. The last head of the tribe was Yesügei, whose son Temüjin eventually united all the Shiwei tribes as the Mongol Empire (Yekhe Monggol Ulus)."
Montenegro,ME,MNE,Europe,"""Black Mountain"" in the Venetian language, for Mount Lov?en and its dark coniferous forests."
Morocco,MA,MAR,Africa,"from ""Marrakesh"", the south region's former capital, from Portuguese Marrocos. Form of the Berber name M?rrak?š (??????), probably from mur [n] akush (??? ? ????, ""Land of God"")."
Mozambique,MZ,MOZ,Africa,"From the name of the Island of Mozambique, which in turn probably comes from the name of a previous Arab ruler, the sheik Mussa Ben Mbiki."
